site_name,lat,lon,utm_x,utm_y,closest_ref,dist_ref,angle_ref,closest_wrp,dist_wrp,angle_wrp,closest_wrp_capacity,dist_dc
Chico,33.836781,-118.258583,383547.1749268095,3744771.086173095,Marathon (Carson),2879.262787474872,145.6244603713369,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),4297.102216526975,213.0854475647565,400,50.00496319139093
ElSegundo,33.920615,-118.407095,369932.10194513993,3754245.360266213,Chevron El Segundo,1173.8770959604428,190.8740020805109,HYPERION TREATMENT PLANT,2809.7803261802856,293.63669010195144,850,6436.743876490896
FirstMethodist,33.782233,-118.2818168,381321.9783413702,3738749.061935413,Phillips 66 (Wilmington),1123.7616724924599,205.54794206441397,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),2456.124689223339,355.44919426644117,400,3791.56104371025
GStreet,33.77785794,-118.2818168,381315.94286067155,3738263.9345847135,Phillips 66 (Wilmington),717.231851765156,222.50927470731455,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),2940.0121957017286,356.1994067669195,400,3748.283683633944
GuenserPark,33.869231,-118.313499,378511.5923300413,3748432.8752994365,Torrance Refinery,2400.2363344951414,220.24825059956356,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),7701.974433551836,159.17536656248416,400,374.614394570854
HarborPark,33.786252,-118.286028,380937.61903419433,3739199.567522358,Phillips 66 (Wilmington),1462.6445305976667,183.71014446235884,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),2012.1706599261872,5.5605956437174235,400,4262.025587611743
Hudson,33.802478,-118.220013,387071.0629198522,3740924.4264730965,Marathon (Wilmington),1377.565138996783,240.55219390000732,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),5919.879967729181,271.98617574553367,400,705.2271704475802
InnerPort,33.78171897,-118.2135073,387646.1701761514,3738615.4696147554,Valero Refinery,2022.0590253060725,260.9218141941145,TERMINAL ISLAND WRP,5969.551302171567,227.89694583465547,15,1936.6777557384282
Judson,33.8247,-118.268128,382647.44048875105,3743442.3259260315,Marathon (Carson),2714.846033595566,112.44506044004933,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),2692.421497697137,212.89142990229993,400,1481.33573252792
Manhattan,33.890204,-118.401439,370408.9455206478,3750865.96396696,Chevron El Segundo,2341.29032177527,341.4606069658344,HYPERION TREATMENT PLANT,5462.07671243235,325.4598383892303,850,6144.636224083373
StAnthony,33.918871,-118.407927,369852.5359163884,3754053.0239289817,Chevron El Segundo,970.2161052705964,188.56655233659004,HYPERION TREATMENT PLANT,2824.5269839727107,297.8598511296558,850,6542.7472049260505
StLuke,33.81952582,-118.2115312,387878.46063553094,3742805.4890023023,Marathon (Carson),2768.4740777442325,260.3794178153218,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),6910.049810858151,255.88806435738726,400,1789.5503556088108
ElmAve,33.84048285612423,-118.3316298600153,376793.2331856196,3745266.662266282,Torrance Refinery,1361.8527840210668,5.340144590621547,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),5965.561586774846,132.23873892966606,400,3955.40619774989
WestHS,33.85032033929173,-118.36836539131416,373408.60980845685,3746402.1236518873,Torrance Refinery,3535.683975117766,85.69094260428811,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),9333.383954436576,123.11444321674038,400,1546.6512387100497
NorthHS,33.86785391284254,-118.33660803949037,376372.05412800366,3748307.7286123442,Torrance Refinery,1779.132922126877,160.7232455627874,JOINT WATER POLLUTION CONTROL PLANT (JWPCP),8568.878659735916,145.30503834896257,400,4857.596306758037
